dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,separability,n_train,n_validation,n_train_rare,n_labeled_total,n_labeled_rare,expected_labeled_rare,labeled_mask_source,val_missed,abstain,abstain_reason,chosen_rank,tau,raw_candidates,raw_candidate_true_rare,raw_candidate_nonrare,historical_comparison_available,historical_comparison_match,reconstruction_basis,n_test,true_rare,true_nonrare,baseline_missed_rare,true_rescues,false_rescues,all_rescues,remaining_missed_rare,recovery_rate,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr
immune_dc,44,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,success,,1.9126686449948958,11291,5862,277,11041,27,27,train_predictions.is_labeled_for_scanvi,21.0,False,rescue_applied,1.0,0.13975317717367453,15.0,10.0,5.0,True,True,current_formal_replay,6134,130,6004,19,10,5,15,9,0.5263157894736842,0.6666666666666666,0.3333333333333333,0.0008327781479013991,0.0008327781479013991
immune_dc,44,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed44_asdc_rareall,success,,1.8291981444218912,11291,5862,277,11291,277,277,train_predictions.is_labeled_for_scanvi,8.0,False,rescue_applied,1.0,0.1680048092773557,8.0,2.0,6.0,True,True,current_formal_replay,6134,130,6004,10,2,6,8,8,0.2,0.25,0.75,0.000999333777481679,0.000999333777481679
pancreas_baron,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,success,,1.5213334094991247,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,58.0,False,rescue_applied,2.0,0.09526462817763968,78.0,54.0,24.0,True,True,current_formal_replay,1724,86,1638,75,54,16,70,21,0.72,0.7714285714285715,0.22857142857142856,0.009768009768009768,0.009768009768009768
pancreas_baron,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,success,,1.5213334094991247,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,58.0,False,rescue_applied,2.0,0.09526462817763968,78.0,54.0,24.0,True,True,current_formal_replay,1724,86,1638,75,54,16,70,21,0.72,0.7714285714285715,0.22857142857142856,0.009768009768009768,0.009768009768009768
pancreas_baron,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,success,,1.4421529708491374,5542,1303,106,5446,10,10,train_predictions.is_labeled_for_scanvi,29.0,False,rescue_applied,1.0,0.10301659085062248,8.0,5.0,3.0,True,True,current_formal_replay,1724,86,1638,29,5,3,8,24,0.1724137931034483,0.625,0.375,0.0018315018315018315,0.0018315018315018315
pancreas_baron,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,success,,1.159680349882819,5542,1303,106,5542,106,106,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,6,0,0,0,6,0.0,,,0.0,0.0
pancreas_baron,43,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare1pct,success,,1.1244837226660471,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,74,0,0,0,74,0.0,,,0.0,0.0
pancreas_baron,43,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare5pct,success,,1.1244837226660471,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,74,0,0,0,74,0.0,,,0.0,0.0
pancreas_baron,43,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare10pct,success,,1.5543486264216433,5542,1303,106,5446,10,10,train_predictions.is_labeled_for_scanvi,19.0,False,rescue_applied,1.0,0.09378608122937314,43.0,16.0,27.0,True,True,current_formal_replay,1724,86,1638,29,11,8,19,18,0.3793103448275862,0.5789473684210527,0.42105263157894735,0.004884004884004884,0.004884004884004884
pancreas_baron,43,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rareall,success,,1.1218329740371191,5542,1303,106,5542,106,106,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,9,0,0,0,9,0.0,,,0.0,0.0
pancreas_baron,44,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare1pct,success,,1.221958717366858,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,42,0,0,0,42,0.0,,,0.0,0.0
pancreas_baron,44,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare5pct,success,,1.221958717366858,5542,1303,106,5441,5,5,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,42,0,0,0,42,0.0,,,0.0,0.0
pancreas_baron,44,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare10pct,success,,1.1240523770949333,5542,1303,106,5446,10,10,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,15,0,0,0,15,0.0,,,0.0,0.0
pancreas_baron,44,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rareall,success,,1.0929299673770752,5542,1303,106,5542,106,106,train_predictions.is_labeled_for_scanvi,,True,sep<1.3,0.0,inf,,,,True,True,current_formal_replay,1724,86,1638,12,0,0,0,12,0.0,,,0.0,0.0
pancreas_integrated,42,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare1pct,success,,1.4516007383338212,7936,1303,243,7698,5,5,train_predictions.is_labeled_for_scanvi,2.0,True,val_missed=2 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,42,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare5pct,success,,1.5431647800090584,7936,1303,243,7705,12,12,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,42,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare10pct,success,,1.3409552296871317,7936,1303,243,7717,24,24,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,42,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rareall,success,,1.4441964275317618,7936,1303,243,7936,243,243,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,43,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare1pct,success,,2.3225058448785476,7936,1303,243,7698,5,5,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,43,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare5pct,success,,1.6065062893362476,7936,1303,243,7705,12,12,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,43,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare10pct,success,,1.3032288969759749,7936,1303,243,7717,24,24,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,43,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rareall,success,,1.4103775221365091,7936,1303,243,7936,243,243,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,44,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare1pct,success,,1.4166589946361952,7936,1303,243,7698,5,5,train_predictions.is_labeled_for_scanvi,5.0,False,rescue_applied,1.0,0.11839036272394325,23.0,23.0,0.0,True,True,current_formal_replay,1724,23,1701,23,23,0,23,0,1.0,1.0,0.0,0.0,0.0
pancreas_integrated,44,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare5pct,success,,1.5340821664253836,7936,1303,243,7705,12,12,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,44,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare10pct,success,,1.5686109921324445,7936,1303,243,7717,24,24,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
pancreas_integrated,44,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rareall,success,,1.36654747640278,7936,1303,243,7936,243,243,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1724,23,1701,0,0,0,0,0,,,,0.0,0.0
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,2.346817408359635,7464,887,208,7261,5,5,train_predictions.is_labeled_for_scanvi,34.0,False,rescue_applied,1.0,0.10672151205434444,67.0,65.0,2.0,True,True,current_formal_replay,1781,65,1716,65,65,2,67,0,1.0,0.9701492537313433,0.029850746268656716,0.0011655011655011655,0.0011655011655011655
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,1.8789782099699441,7464,887,208,7266,10,10,train_predictions.is_labeled_for_scanvi,10.0,False,rescue_applied,1.0,0.17689187806042936,36.0,32.0,4.0,True,True,current_formal_replay,1781,65,1716,32,32,4,36,0,1.0,0.8888888888888888,0.1111111111111111,0.002331002331002331,0.002331002331002331
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,1.6588596718230222,7464,887,208,7276,20,20,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,1,0,0,0,1,0.0,,,0.0,0.0
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,success,,1.6709684713901254,7464,887,208,7464,208,208,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,0,0,0,0,0,,,,0.0,0.0
tabula_lung_endo,43,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,1.9886052700307806,7464,887,208,7261,5,5,train_predictions.is_labeled_for_scanvi,22.0,False,rescue_applied,1.0,0.08600986839163967,57.0,56.0,1.0,True,True,current_formal_replay,1781,65,1716,58,56,0,56,2,0.9655172413793104,1.0,0.0,0.0,0.0
tabula_lung_endo,43,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,1.691269034924717,7464,887,208,7266,10,10,train_predictions.is_labeled_for_scanvi,3.0,False,rescue_applied,1.0,0.183864051494315,8.0,5.0,3.0,True,True,current_formal_replay,1781,65,1716,5,5,3,8,0,1.0,0.625,0.375,0.0017482517482517483,0.0017482517482517483
tabula_lung_endo,43,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,1.7337657666358008,7464,887,208,7276,20,20,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,2,0,0,0,2,0.0,,,0.0,0.0
tabula_lung_endo,43,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rareall,success,,1.4801219626440585,7464,887,208,7464,208,208,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,0,0,0,0,0,,,,0.0,0.0
tabula_lung_endo,44,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,2.0897712781603284,7464,887,208,7261,5,5,train_predictions.is_labeled_for_scanvi,18.0,False,rescue_applied,1.0,0.13896265875183658,24.0,23.0,1.0,True,True,current_formal_replay,1781,65,1716,25,23,1,24,2,0.92,0.9583333333333334,0.041666666666666664,0.0005827505827505828,0.0005827505827505828
tabula_lung_endo,44,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,1.7970171102316257,7464,887,208,7266,10,10,train_predictions.is_labeled_for_scanvi,3.0,False,rescue_applied,1.0,0.17930921867457592,6.0,6.0,0.0,True,True,current_formal_replay,1781,65,1716,6,6,0,6,0,1.0,1.0,0.0,0.0,0.0
tabula_lung_endo,44,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,1.689411879757718,7464,887,208,7276,20,20,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,2,0,0,0,2,0.0,,,0.0,0.0
tabula_lung_endo,44,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rareall,success,,1.6533359543442292,7464,887,208,7464,208,208,train_predictions.is_labeled_for_scanvi,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0.0,inf,,,,True,True,current_formal_replay,1781,65,1716,2,0,0,0,2,0.0,,,0.0,0.0
tabula_sapiens_stomach,42,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare1pct,success,,1.7794411234665837,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,36.0,False,rescue_applied,2.0,0.056060221092595876,7.0,7.0,0.0,True,True,current_formal_replay,9575,32,9543,20,7,0,7,13,0.35,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,42,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare5pct,success,,1.7794411234665837,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,36.0,False,rescue_applied,2.0,0.056060221092595876,7.0,7.0,0.0,True,True,current_formal_replay,9575,32,9543,20,7,0,7,13,0.35,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,42,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare10pct,success,,1.7794411234665837,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,36.0,False,rescue_applied,2.0,0.056060221092595876,7.0,7.0,0.0,True,True,current_formal_replay,9575,32,9543,20,7,0,7,13,0.35,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,42,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rareall,success,,1.818143687441375,14277,9212,52,14277,52,52,train_predictions.is_labeled_for_scanvi,58.0,False,rescue_applied,2.0,0.061153014248000855,9.0,9.0,0.0,True,True,current_formal_replay,9575,32,9543,24,9,0,9,15,0.375,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,43,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare1pct,success,,2.512400839225125,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,22.0,False,rescue_applied,3.0,0.025024615354407316,1.0,1.0,0.0,True,True,current_formal_replay,9575,32,9543,15,1,0,1,14,0.06666666666666667,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,43,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare5pct,success,,2.512400839225125,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,22.0,False,rescue_applied,3.0,0.025024615354407316,1.0,1.0,0.0,True,True,current_formal_replay,9575,32,9543,15,1,0,1,14,0.06666666666666667,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,43,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare10pct,success,,2.512400839225125,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,22.0,False,rescue_applied,3.0,0.025024615354407316,1.0,1.0,0.0,True,True,current_formal_replay,9575,32,9543,15,1,0,1,14,0.06666666666666667,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,43,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rareall,success,,1.7545847738387703,14277,9212,52,14277,52,52,train_predictions.is_labeled_for_scanvi,8.0,False,rescue_applied,1.0,0.06089400220964474,2.0,2.0,0.0,True,True,current_formal_replay,9575,32,9543,16,2,0,2,14,0.125,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,44,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare1pct,success,,1.89385777454797,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,7.0,False,rescue_applied,1.0,0.03565730289618489,4.0,4.0,0.0,True,True,current_formal_replay,9575,32,9543,18,4,0,4,14,0.2222222222222222,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,44,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare5pct,success,,1.89385777454797,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,7.0,False,rescue_applied,1.0,0.03565730289618489,4.0,4.0,0.0,True,True,current_formal_replay,9575,32,9543,18,4,0,4,14,0.2222222222222222,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,44,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare10pct,success,,1.89385777454797,14277,9212,52,14230,5,5,train_predictions.is_labeled_for_scanvi,7.0,False,rescue_applied,1.0,0.03565730289618489,4.0,4.0,0.0,True,True,current_formal_replay,9575,32,9543,18,4,0,4,14,0.2222222222222222,1.0,0.0,0.0,0.0
tabula_sapiens_stomach,44,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rareall,success,,1.7388340169675545,14277,9212,52,14277,52,52,train_predictions.is_labeled_for_scanvi,5.0,False,rescue_applied,1.0,0.057134127470862106,5.0,5.0,0.0,True,True,current_formal_replay,9575,32,9543,18,5,0,5,13,0.2777777777777778,1.0,0.0,0.0,0.0
tabula_small_intestine,42,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare1pct,success,,3.16499844210852,24282,9715,315,23972,5,5,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,42,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare5pct,success,,2.6236530760816006,24282,9715,315,23982,15,15,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,42,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare10pct,success,,2.300962488721768,24282,9715,315,23998,31,31,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,42,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rareall,success,,2.447742762390442,24282,9715,315,24282,315,315,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,43,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare1pct,success,,2.593703236541538,24282,9715,315,23972,5,5,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,43,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare5pct,success,,2.4085700798707195,24282,9715,315,23982,15,15,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
tabula_small_intestine,43,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare10pct,success,,3.2691004569904565,24282,9715,315,23998,31,31,train_predictions.is_labeled_for_scanvi,0.0,True,val baseline 零漏判稀有,0.0,inf,,,,True,True,current_formal_replay,6353,65,6288,0,0,0,0,0,,,,0.0,0.0
