dataset,seed,rare_train_size,rare_class,split_mode,run_dir,status,error,current_replay_available,historical_cell_identity_available,historical_reconstruction_basis,historical_count_match,separability,n_train,n_validation,n_test,n_train_rare,n_labeled_rare,expected_labeled_rare,closest_competitor_class,scANVI_probability_available,val_missed,abstain,abstain_reason,chosen_rank,tau,current_true_rescues,current_false_rescues,n_baseline_correct_rare,n_true_rescued_rare,n_unrescued_rare,n_non_target,n_closest_competitor
pancreas_baron,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,success,,True,True,current_formal_replay,True,1.4421529708491374,5542,1303,1724,106,10,10,delta,True,29.0,False,rescue_applied,1,0.10301659085062248,5,3,57,5,24,1638,125
pancreas_baron,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,success,,True,True,current_formal_replay,True,1.159680349882819,5542,1303,1724,106,106,106,epsilon,True,,True,sep<1.3,0,inf,0,0,80,0,6,1638,2
pancreas_baron,43,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare1pct,success,,True,True,current_formal_replay,True,1.1244837226660471,5542,1303,1724,106,5,5,epsilon,True,,True,sep<1.3,0,inf,0,0,12,0,74,1638,2
pancreas_baron,43,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare5pct,success,,True,True,current_formal_replay,True,1.1244837226660471,5542,1303,1724,106,5,5,epsilon,True,,True,sep<1.3,0,inf,0,0,12,0,74,1638,2
pancreas_baron,43,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rare10pct,success,,True,True,current_formal_replay,True,1.5543486264216433,5542,1303,1724,106,10,10,epsilon,True,19.0,False,rescue_applied,1,0.09378608122937314,11,8,57,11,18,1638,2
pancreas_baron,43,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed43_gamma_rareall,success,,True,True,current_formal_replay,True,1.1218329740371191,5542,1303,1724,106,106,106,epsilon,True,,True,sep<1.3,0,inf,0,0,77,0,9,1638,2
pancreas_baron,44,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare1pct,success,,True,True,current_formal_replay,True,1.221958717366858,5542,1303,1724,106,5,5,epsilon,True,,True,sep<1.3,0,inf,0,0,44,0,42,1638,2
pancreas_baron,44,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare5pct,success,,True,True,current_formal_replay,True,1.221958717366858,5542,1303,1724,106,5,5,epsilon,True,,True,sep<1.3,0,inf,0,0,44,0,42,1638,2
pancreas_baron,44,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rare10pct,success,,True,True,current_formal_replay,True,1.1240523770949333,5542,1303,1724,106,10,10,epsilon,True,,True,sep<1.3,0,inf,0,0,71,0,15,1638,2
pancreas_baron,44,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed44_gamma_rareall,success,,True,True,current_formal_replay,True,1.0929299673770752,5542,1303,1724,106,106,106,epsilon,True,,True,sep<1.3,0,inf,0,0,74,0,12,1638,2
pancreas_integrated,42,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare1pct,success,,True,True,current_formal_replay,True,1.4516007383338212,7936,1303,1724,243,5,5,quiescent_stellate,True,2.0,True,val_missed=2 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,42,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare5pct,success,,True,True,current_formal_replay,True,1.5431647800090584,7936,1303,1724,243,12,12,quiescent_stellate,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,42,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare10pct,success,,True,True,current_formal_replay,True,1.3409552296871317,7936,1303,1724,243,24,24,quiescent_stellate,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,42,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rareall,success,,True,True,current_formal_replay,True,1.4441964275317618,7936,1303,1724,243,243,243,quiescent_stellate,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,43,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare1pct,success,,True,True,current_formal_replay,True,2.3225058448785476,7936,1303,1724,243,5,5,activated_stellate,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,81
pancreas_integrated,43,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare5pct,success,,True,True,current_formal_replay,True,1.6065062893362476,7936,1303,1724,243,12,12,quiescent_stellate,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,43,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare10pct,success,,True,True,current_formal_replay,True,1.3032288969759749,7936,1303,1724,243,24,24,quiescent_stellate,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,43,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rareall,success,,True,True,current_formal_replay,True,1.4103775221365091,7936,1303,1724,243,243,243,quiescent_stellate,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,44,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare1pct,success,,True,True,current_formal_replay,True,1.4166589946361952,7936,1303,1724,243,5,5,activated_stellate,True,5.0,False,rescue_applied,1,0.11839036272394325,23,0,0,23,0,1701,81
pancreas_integrated,44,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare5pct,success,,True,True,current_formal_replay,True,1.5340821664253836,7936,1303,1724,243,12,12,activated_stellate,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,23,0,0,1701,81
pancreas_integrated,44,0.10,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare10pct,success,,True,True,current_formal_replay,True,1.5686109921324445,7936,1303,1724,243,24,24,quiescent_stellate,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,23,0,0,1701,22
pancreas_integrated,44,all,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rareall,success,,True,True,current_formal_replay,True,1.36654747640278,7936,1303,1724,243,243,243,quiescent_stellate,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,23,0,0,1701,22
tabula_lung_endo,42,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,True,True,current_formal_replay,True,2.346817408359635,7464,887,1781,208,5,5,vein endothelial cell,True,34.0,False,rescue_applied,1,0.10672151205434444,65,2,0,65,0,1716,144
tabula_lung_endo,42,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,True,True,current_formal_replay,True,1.8789782099699441,7464,887,1781,208,10,10,vein endothelial cell,True,10.0,False,rescue_applied,1,0.17689187806042936,32,4,33,32,0,1716,144
tabula_lung_endo,42,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,True,True,current_formal_replay,True,1.6588596718230222,7464,887,1781,208,20,20,vein endothelial cell,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,64,0,1,1716,144
tabula_lung_endo,42,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,success,,True,True,current_formal_replay,True,1.6709684713901254,7464,887,1781,208,208,208,vein endothelial cell,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,1716,144
tabula_lung_endo,43,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,True,True,current_formal_replay,True,1.9886052700307806,7464,887,1781,208,5,5,vein endothelial cell,True,22.0,False,rescue_applied,1,0.08600986839163967,56,0,7,56,2,1716,144
tabula_lung_endo,43,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,True,True,current_formal_replay,True,1.691269034924717,7464,887,1781,208,10,10,vein endothelial cell,True,3.0,False,rescue_applied,1,0.183864051494315,5,3,60,5,0,1716,144
tabula_lung_endo,43,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,True,True,current_formal_replay,True,1.7337657666358008,7464,887,1781,208,20,20,vein endothelial cell,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,63,0,2,1716,144
tabula_lung_endo,43,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rareall,success,,True,True,current_formal_replay,True,1.4801219626440585,7464,887,1781,208,208,208,vein endothelial cell,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,65,0,0,1716,144
tabula_lung_endo,44,0.01,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare1pct,success,,True,True,current_formal_replay,True,2.0897712781603284,7464,887,1781,208,5,5,vein endothelial cell,True,18.0,False,rescue_applied,1,0.13896265875183658,23,1,40,23,2,1716,144
tabula_lung_endo,44,0.05,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare5pct,success,,True,True,current_formal_replay,True,1.7970171102316257,7464,887,1781,208,10,10,vein endothelial cell,True,3.0,False,rescue_applied,1,0.17930921867457592,6,0,59,6,0,1716,144
tabula_lung_endo,44,0.10,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rare10pct,success,,True,True,current_formal_replay,True,1.689411879757718,7464,887,1781,208,20,20,vein endothelial cell,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,63,0,2,1716,144
tabula_lung_endo,44,all,endothelial cell of lymphatic vessel,batch_heldout,outputs\tabula_lung_endo\batch_heldout_seed44_endothelial_cell_of_lymphatic_vessel_rareall,success,,True,True,current_formal_replay,True,1.6533359543442292,7464,887,1781,208,208,208,vein endothelial cell,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,63,0,2,1716,144
tabula_sapiens_stomach,42,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare1pct,success,,True,True,current_formal_replay,True,1.7794411234665837,14277,9212,9575,52,5,5,mature NK T cell,True,36.0,False,rescue_applied,2,0.056060221092595876,7,0,12,7,13,9543,6
tabula_sapiens_stomach,42,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare5pct,success,,True,True,current_formal_replay,True,1.7794411234665837,14277,9212,9575,52,5,5,mature NK T cell,True,36.0,False,rescue_applied,2,0.056060221092595876,7,0,12,7,13,9543,6
tabula_sapiens_stomach,42,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rare10pct,success,,True,True,current_formal_replay,True,1.7794411234665837,14277,9212,9575,52,5,5,mature NK T cell,True,36.0,False,rescue_applied,2,0.056060221092595876,7,0,12,7,13,9543,6
tabula_sapiens_stomach,42,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed42_mast_cell_rareall,success,,True,True,current_formal_replay,True,1.818143687441375,14277,9212,9575,52,52,52,B cell,True,58.0,False,rescue_applied,2,0.061153014248000855,9,0,8,9,15,9543,2080
tabula_sapiens_stomach,43,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare1pct,success,,True,True,current_formal_replay,True,2.512400839225125,14277,9212,9575,52,5,5,mature NK T cell,True,22.0,False,rescue_applied,3,0.025024615354407316,1,0,17,1,14,9543,6
tabula_sapiens_stomach,43,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare5pct,success,,True,True,current_formal_replay,True,2.512400839225125,14277,9212,9575,52,5,5,mature NK T cell,True,22.0,False,rescue_applied,3,0.025024615354407316,1,0,17,1,14,9543,6
tabula_sapiens_stomach,43,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rare10pct,success,,True,True,current_formal_replay,True,2.512400839225125,14277,9212,9575,52,5,5,mature NK T cell,True,22.0,False,rescue_applied,3,0.025024615354407316,1,0,17,1,14,9543,6
tabula_sapiens_stomach,43,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed43_mast_cell_rareall,success,,True,True,current_formal_replay,True,1.7545847738387703,14277,9212,9575,52,52,52,mature NK T cell,True,8.0,False,rescue_applied,1,0.06089400220964474,2,0,16,2,14,9543,6
tabula_sapiens_stomach,44,0.01,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare1pct,success,,True,True,current_formal_replay,True,1.89385777454797,14277,9212,9575,52,5,5,mature NK T cell,True,7.0,False,rescue_applied,1,0.03565730289618489,4,0,14,4,14,9543,6
tabula_sapiens_stomach,44,0.05,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare5pct,success,,True,True,current_formal_replay,True,1.89385777454797,14277,9212,9575,52,5,5,mature NK T cell,True,7.0,False,rescue_applied,1,0.03565730289618489,4,0,14,4,14,9543,6
tabula_sapiens_stomach,44,0.10,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rare10pct,success,,True,True,current_formal_replay,True,1.89385777454797,14277,9212,9575,52,5,5,mature NK T cell,True,7.0,False,rescue_applied,1,0.03565730289618489,4,0,14,4,14,9543,6
tabula_sapiens_stomach,44,all,mast cell,batch_heldout,outputs\tabula_sapiens_stomach\batch_heldout_seed44_mast_cell_rareall,success,,True,True,current_formal_replay,True,1.7388340169675545,14277,9212,9575,52,52,52,mature NK T cell,True,5.0,False,rescue_applied,1,0.057134127470862106,5,0,14,5,13,9543,6
tabula_small_intestine,42,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare1pct,success,,True,True,current_formal_replay,True,3.16499844210852,24282,9715,6353,315,5,5,small intestine goblet cell,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,218
tabula_small_intestine,42,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare5pct,success,,True,True,current_formal_replay,True,2.6236530760816006,24282,9715,6353,315,15,15,small intestine goblet cell,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,218
tabula_small_intestine,42,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rare10pct,success,,True,True,current_formal_replay,True,2.300962488721768,24282,9715,6353,315,31,31,small intestine goblet cell,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,218
tabula_small_intestine,42,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed42_intestinal_tuft_cell_rareall,success,,True,True,current_formal_replay,True,2.447742762390442,24282,9715,6353,315,315,315,small intestine goblet cell,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,218
tabula_small_intestine,43,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare1pct,success,,True,True,current_formal_replay,True,2.593703236541538,24282,9715,6353,315,5,5,BEST4+ enterocyte,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,67
tabula_small_intestine,43,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare5pct,success,,True,True,current_formal_replay,True,2.4085700798707195,24282,9715,6353,315,15,15,BEST4+ enterocyte,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,67
tabula_small_intestine,43,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rare10pct,success,,True,True,current_formal_replay,True,3.2691004569904565,24282,9715,6353,315,31,31,BEST4+ enterocyte,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,67
tabula_small_intestine,43,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed43_intestinal_tuft_cell_rareall,success,,True,True,current_formal_replay,True,2.6232210164889778,24282,9715,6353,315,315,315,BEST4+ enterocyte,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,67
tabula_small_intestine,44,0.01,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare1pct,success,,True,True,current_formal_replay,True,2.5892390794116107,24282,9715,6353,315,5,5,enteroendocrine cell of small intestine,True,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0,65,0,0,6288,36
tabula_small_intestine,44,0.05,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare5pct,success,,True,True,current_formal_replay,True,2.1813213226581936,24282,9715,6353,315,15,15,enteroendocrine cell of small intestine,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,36
tabula_small_intestine,44,0.10,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rare10pct,success,,True,True,current_formal_replay,True,2.6334700238982136,24282,9715,6353,315,31,31,BEST4+ enterocyte,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,67
tabula_small_intestine,44,all,intestinal tuft cell,batch_heldout,outputs\tabula_small_intestine\batch_heldout_seed44_intestinal_tuft_cell_rareall,success,,True,True,current_formal_replay,True,2.3481522342712147,24282,9715,6353,315,315,315,enteroendocrine cell of small intestine,True,0.0,True,val baseline 零漏判稀有,0,inf,0,0,65,0,0,6288,36
mouse_lung_tms_10x,42,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare1pct,success,,True,True,current_formal_replay,True,2.388498718008568,21585,1584,1367,213,5,5,bronchial smooth muscle cell,True,56.0,False,rescue_applied,1,0.04914470349079188,7,0,0,7,44,1316,339
mouse_lung_tms_10x,42,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare5pct,success,,True,True,current_formal_replay,True,1.1875598337377935,21585,1584,1367,213,10,10,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,0,0,51,1316,11
mouse_lung_tms_10x,42,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare10pct,success,,True,True,current_formal_replay,True,1.3128199203034743,21585,1584,1367,213,21,21,smooth muscle cell of the pulmonary artery,True,37.0,False,rescue_applied,1,0.1013780916646144,15,1,14,15,22,1316,11
mouse_lung_tms_10x,42,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rareall,success,,True,True,current_formal_replay,True,1.2083994033024412,21585,1584,1367,213,213,213,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,34,0,17,1316,11
mouse_lung_tms_10x,43,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare1pct,success,,True,True,current_formal_replay,True,1.0977409329134968,21585,1584,1367,213,5,5,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,0,0,51,1316,11
mouse_lung_tms_10x,43,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare5pct,success,,True,True,current_formal_replay,True,1.1049478186428947,21585,1584,1367,213,10,10,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,0,0,51,1316,11
mouse_lung_tms_10x,43,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare10pct,success,,True,True,current_formal_replay,True,1.2438605785387364,21585,1584,1367,213,21,21,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,0,0,51,1316,11
mouse_lung_tms_10x,43,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rareall,success,,True,True,current_formal_replay,True,1.2406961329842556,21585,1584,1367,213,213,213,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,37,0,14,1316,11
mouse_lung_tms_10x,44,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare1pct,success,,True,True,current_formal_replay,True,1.5318534251918745,21585,1584,1367,213,5,5,smooth muscle cell of the pulmonary artery,True,56.0,False,rescue_applied,1,0.07470159213855895,11,1,0,11,40,1316,11
mouse_lung_tms_10x,44,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare5pct,success,,True,True,current_formal_replay,True,1.4965780934401962,21585,1584,1367,213,10,10,smooth muscle cell of the pulmonary artery,True,54.0,False,rescue_applied,1,0.07752235151801837,16,1,1,16,34,1316,11
mouse_lung_tms_10x,44,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare10pct,success,,True,True,current_formal_replay,True,1.1494793580400469,21585,1584,1367,213,21,21,smooth muscle cell of the pulmonary artery,True,,True,sep<1.3,0,inf,0,0,18,0,33,1316,11
mouse_lung_tms_10x,44,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rareall,success,,True,True,current_formal_replay,True,1.3019072397755551,21585,1584,1367,213,213,213,smooth muscle cell of the pulmonary artery,True,6.0,False,rescue_applied,1,0.0963199188884463,1,2,42,1,8,1316,11
