dataset,seed,rare_train_size,status,separability,val_missed,abstain,reason,chosen_rank,tau,n_candidate,n_rescued
tabula_lung_endo,42,0.10,ok,1.6588596718230222,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_lung_endo,42,all,ok,1.6709684713901254,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_lung_endo,43,0.01,ok,1.9886052700307806,22.0,False,,1,0.08600986839163967,57,56
tabula_lung_endo,43,0.05,ok,1.691269034924717,3.0,False,,1,0.183864051494315,8,8
tabula_lung_endo,43,0.10,ok,1.7337657666358008,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_lung_endo,43,all,ok,1.4801219626440585,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_lung_endo,44,0.01,ok,2.0897712781603284,18.0,False,,1,0.13896265875183658,24,24
tabula_lung_endo,44,0.05,ok,1.7970171102316257,3.0,False,,1,0.17930921867457592,6,6
tabula_lung_endo,44,0.10,ok,1.689411879757718,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_lung_endo,44,all,ok,1.6533359543442292,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_sapiens_stomach,42,0.01,ok,1.7794411234665837,36.0,False,,2,0.056060221092595876,7,7
tabula_sapiens_stomach,42,0.05,ok,1.7794411234665837,36.0,False,,2,0.056060221092595876,7,7
tabula_sapiens_stomach,42,0.10,ok,1.7794411234665837,36.0,False,,2,0.056060221092595876,7,7
tabula_sapiens_stomach,42,all,ok,1.818143687441375,58.0,False,,2,0.061153014248000855,9,9
tabula_sapiens_stomach,43,0.01,ok,2.512400839225125,22.0,False,,3,0.025024615354407316,1,1
tabula_sapiens_stomach,43,0.05,ok,2.512400839225125,22.0,False,,3,0.025024615354407316,1,1
tabula_sapiens_stomach,43,0.10,ok,2.512400839225125,22.0,False,,3,0.025024615354407316,1,1
tabula_sapiens_stomach,43,all,ok,1.7545847738387703,8.0,False,,1,0.06089400220964474,2,2
tabula_sapiens_stomach,44,0.01,ok,1.89385777454797,7.0,False,,1,0.03565730289618489,4,4
tabula_sapiens_stomach,44,0.05,ok,1.89385777454797,7.0,False,,1,0.03565730289618489,4,4
tabula_sapiens_stomach,44,0.10,ok,1.89385777454797,7.0,False,,1,0.03565730289618489,4,4
tabula_sapiens_stomach,44,all,ok,1.7388340169675545,5.0,False,,1,0.057134127470862106,5,5
tabula_small_intestine,42,0.01,ok,3.16499844210852,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,42,0.05,ok,2.6236530760816006,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,42,0.10,ok,2.300962488721768,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,42,all,ok,2.447742762390442,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,43,0.01,ok,2.593703236541538,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,43,0.05,ok,2.4085700798707195,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,43,0.10,ok,3.2691004569904565,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,43,all,ok,2.6232210164889778,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,44,0.01,ok,2.5892390794116107,1.0,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,0,0
tabula_small_intestine,44,0.05,ok,2.1813213226581936,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,44,0.10,ok,2.6334700238982136,0.0,True,val baseline 零漏判稀有,0,inf,0,0
tabula_small_intestine,44,all,ok,2.3481522342712147,0.0,True,val baseline 零漏判稀有,0,inf,0,0
