dataset,rare_class,seed,actual_training_labeled_rare_count,n_nominal_runs,n_distinct_identities,nominal_budgets,identity_hashes,count_collapse,identity_collapse,count_only_collision
tabula_lung_endo,endothelial cell of lymphatic vessel,42,20,1,1,"[""0.10""]","[""6cc7ceded812b125937e6c43d4c69071f47c5882aed10420273a0bb42f94be89""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,42,208,1,1,"[""all""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,43,5,1,1,"[""0.01""]","[""072bd4a6a89e4b92a0d461928e295963507e42a006f785679b531c97a6c941e6""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,43,10,1,1,"[""0.05""]","[""1d825d7683a8696384824afb7b44f380ab77087e8afbfd0102d8a030e496ee6e""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,43,20,1,1,"[""0.10""]","[""799b09efffb22dee371856935f53bbe7a3aaafcaa53583e990b980153e318342""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,43,208,1,1,"[""all""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,44,5,1,1,"[""0.01""]","[""cbb53806c0bd3e1eb7af22f190ff2045b8878207ecfeabfd2eefda4a59fb3e67""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,44,10,1,1,"[""0.05""]","[""465df10204080fde5624f28b9ca87ffbeabbd3a474fb6a7e05798575acaf9948""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,44,20,1,1,"[""0.10""]","[""35d32d87bc9e2e6123dd3a53da509930e546b40a79edb27bfbe3f7bc03d9e605""]",False,False,False
tabula_lung_endo,endothelial cell of lymphatic vessel,44,208,1,1,"[""all""]","[""786544698553a7ca24d9c7e4437507154a7b522fde8ec7c87ddacf4bbab437a4""]",False,False,False
tabula_sapiens_stomach,mast cell,42,5,3,1,"[""0.01"",""0.05"",""0.10""]","[""5c94000b0a848b99217042b2213877e7e3d11964bac6caf75c01005fef107370""]",True,True,False
tabula_sapiens_stomach,mast cell,42,52,1,1,"[""all""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]",False,False,False
tabula_sapiens_stomach,mast cell,43,5,3,1,"[""0.01"",""0.05"",""0.10""]","[""05a0f7cde60e8c18f735bab9b14f01237bb3ae6aef492d795fc4d7b3c63455a2""]",True,True,False
tabula_sapiens_stomach,mast cell,43,52,1,1,"[""all""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]",False,False,False
tabula_sapiens_stomach,mast cell,44,5,3,1,"[""0.01"",""0.05"",""0.10""]","[""fd67f4298f788f7c73becd9d49b00f3bf7acc898a423c4a79ea1a499f69710ff""]",True,True,False
tabula_sapiens_stomach,mast cell,44,52,1,1,"[""all""]","[""99b7a4321e1beb35d85a09e84f7eb37df196622256d563a021bdf06df9320b69""]",False,False,False
tabula_small_intestine,intestinal tuft cell,42,5,1,1,"[""0.01""]","[""04a107a54de440a767fb6f8f9a51ad9e164877cc8cc9d6970ee4ee6aa7f57d8b""]",False,False,False
tabula_small_intestine,intestinal tuft cell,42,15,1,1,"[""0.05""]","[""3687916af7de1cf1bb996386bf75583df6302845f1681160f159814e8cf0fb3d""]",False,False,False
tabula_small_intestine,intestinal tuft cell,42,31,1,1,"[""0.10""]","[""95d7b979a6032608be9aba9d69148d0b6b028fafbefb50692d93cc3fc3920275""]",False,False,False
tabula_small_intestine,intestinal tuft cell,42,315,1,1,"[""all""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]",False,False,False
tabula_small_intestine,intestinal tuft cell,43,5,1,1,"[""0.01""]","[""a2e3ef57a0b5cd0b2eac7fe921a1b79920a8b5e2f131b51bb2d212c84a019259""]",False,False,False
tabula_small_intestine,intestinal tuft cell,43,15,1,1,"[""0.05""]","[""4803d585e17a8db7581a70be0893f5b619f87d551a1f62f123f35b97a88a7bc0""]",False,False,False
tabula_small_intestine,intestinal tuft cell,43,31,1,1,"[""0.10""]","[""32b7bce48894b0eaa20d81a7e5ebab9e7b81a2d2fda886da9a57db9b4f3bd41a""]",False,False,False
tabula_small_intestine,intestinal tuft cell,43,315,1,1,"[""all""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]",False,False,False
tabula_small_intestine,intestinal tuft cell,44,5,1,1,"[""0.01""]","[""680879a442026807e9fc1c5298f2c31408480f6731d283a5c54607ab3493d138""]",False,False,False
tabula_small_intestine,intestinal tuft cell,44,15,1,1,"[""0.05""]","[""6ccc61baacd53d698fc905cde17c7fb877cc07fa5f5c3ae223a732b4a16a64bf""]",False,False,False
tabula_small_intestine,intestinal tuft cell,44,31,1,1,"[""0.10""]","[""5e0d7c91f4b05efc50d7a52930252df3bd60bff6559299488a451776a90c2c92""]",False,False,False
tabula_small_intestine,intestinal tuft cell,44,315,1,1,"[""all""]","[""e35086053f34698e5f45edaa5a36ae29b8f05250f490525da0e61709402b932d""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,42,5,1,1,"[""0.01""]","[""b3af521e13912c84eeafd8441325bce2fac130b7de11316cc5ff19b9c0b61312""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,42,10,1,1,"[""0.05""]","[""5fc7f66fe892c904aac29544dfe4fb7055171c53195ffbf3c1fcf8b191fd8eaf""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,42,21,1,1,"[""0.10""]","[""c7bb134b104f6e9562d93c5df926dbc69d9fcbf75e7db3fafc9af79d9d7ff1af""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,42,213,1,1,"[""all""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,43,5,1,1,"[""0.01""]","[""5ca25d2e9c488b74c18e4979f7005ca0541ed8e4db4ba47582cdd7647177de6b""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,43,10,1,1,"[""0.05""]","[""5a4b43e0f204ccce3c15b7b25d9a442a0681b1c0136da6683f503ae6c5594bd0""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,43,21,1,1,"[""0.10""]","[""212ceb23dcb2209d5fd6e70a4a76819b7ff6893d15e84a26f66a977883a615cb""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,43,213,1,1,"[""all""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,44,5,1,1,"[""0.01""]","[""463b0d6d1a90ae9602a4ac6c04d253db2a92bd787404fb45831c91aa703655e3""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,44,10,1,1,"[""0.05""]","[""9fd90210711d434675440f488f402117f5581e81063b8d2d9a0005874b647a02""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,44,21,1,1,"[""0.10""]","[""b5de6c4a6b7a796203d81ee2b88a2e0cc4b4f0b9c2062ccf7c945f1d4e6913eb""]",False,False,False
mouse_lung_tms_10x,vein endothelial cell,44,213,1,1,"[""all""]","[""f3324ef55aa3a35550ee501cef19372bfee12b4509bb7c11aa9f1a5df94c9da4""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,42,5,1,1,"[""0.01""]","[""be6aec7ff639ff73bdf5413e4fbd6d1534e5f2c491a3cb3d65976176b5cdb570""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,42,8,1,1,"[""0.05""]","[""bbbec7c6d0177f389b045dd715d8433692d421b0b88e233bbc32464e3b784aed""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,42,17,1,1,"[""0.10""]","[""e74bc08ab2e53fd5a8cbc909636e0cd6a5ba5fe294e7e3414d08bfdd6b4f077a""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,42,174,1,1,"[""all""]","[""8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,43,5,1,1,"[""0.01""]","[""5df8f7d057bcbf31d246b2c427e5d339b76c9003097e3275cc6bfe04d46781f1""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,43,8,1,1,"[""0.05""]","[""95679432a5bff1e76d60faed7017041b619e279f857d68a205356284d685eebf""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,43,17,1,1,"[""0.10""]","[""3a237894e6f21599ddea3fb9a0a11b5f4b5ae12224dd1ff4d572d9d50256a344""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,43,174,1,1,"[""all""]","[""8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,44,5,1,1,"[""0.01""]","[""9b15207fbaeeddd62642c3690cea35eb113a5129d818a3409b6ca0af3bfbfbc0""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,44,8,1,1,"[""0.05""]","[""6c3befb76a63a359893ae3cbab29c4a843d77a945fb71256dfc39dd9819b23ea""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,44,17,1,1,"[""0.10""]","[""20f856aaee7005c8eff84059b675103e6d495cf5dd83fbb9cd434aab50dc0575""]",False,False,False
mouse_pancreas_tms_10x,pancreatic D cell,44,174,1,1,"[""all""]","[""8b20b81b901a4d91e9f3d77dff05562c430d05b695b379aedbfd27999959fe0c""]",False,False,False
